일자,전체글,활동회원수,가입회원수,페이지뷰
2017.10.09 ~ 2017.10.15,"1,820,846","11,470","207,401","30,798"
2017.10.16 ~ 2017.10.22,"1,824,253","10,761","207,815","36,626"
2017.10.23 ~ 2017.10.29,"1,826,343","9,352","208,134","21,932"
2017.10.30 ~ 2017.11.05,"1,828,482","9,572","208,531","27,450"
2017.11.06 ~ 2017.11.12,"1,830,890","10,192","208,969","41,939"
2017.11.13 ~ 2017.11.19,"1,832,559","8,102","209,197","20,262"
2017.11.20 ~ 2017.11.26,"1,833,927","7,561","209,342","16,076"
2017.11.27 ~ 2017.12.03,"1,836,224","9,185","209,913","21,658"
2017.12.04 ~ 2017.12.10,"1,839,386","11,461","210,940","37,571"
2017.12.11 ~ 2017.12.17,"1,841,506","9,954","211,501","28,732"
2017.12.18 ~ 2017.12.24,"1,843,084","9,847","211,871","24,946"
2017.12.25 ~ 2017.12.31,"1,845,368","10,348","212,382","25,796"
2018.01.01 ~ 2018.01.07,"1,846,196","9,882","212,905","17,035"
2018.01.08 ~ 2018.01.14,"1,837,039","9,627","213,486","17,349"
2018.01.15 ~ 2018.01.21,"1,838,110","8,767","214,088","15,711"
2018.01.22 ~ 2018.01.28,"1,839,325","8,746","214,511","13,904"
2018.01.29 ~ 2018.02.04,"1,840,369","8,173","214,905","13,835"
2018.02.05 ~ 2018.02.11,"1,841,001","6,974","215,048","9,852"
2018.02.12 ~ 2018.02.18,"1,842,084","7,144","215,252","10,751"
2018.02.19 ~ 2018.02.25,"1,842,731","6,648","215,399","9,348"
2018.02.26 ~ 2018.03.04,"1,843,425","6,774","215,420","8,422"
2018.03.05 ~ 2018.03.11,"1,844,057","6,274","215,501","6,678"
2018.03.12 ~ 2018.03.18,"1,844,806","6,312","215,580","7,652"
2018.03.19 ~ 2018.03.25,"1,844,891","7,385","215,661","9,936"
2018.03.26 ~ 2018.04.01,"1,845,436","6,992","215,736","7,604"
2018.04.02 ~ 2018.04.08,"1,846,123","6,603","215,808","8,168"
2018.04.09 ~ 2018.04.15,"1,846,826","6,351","215,858","8,062"
2018.04.16 ~ 2018.04.22,"1,847,464","7,429","215,919","8,387"
2018.04.23 ~ 2018.04.29,"1,847,896","5,990","215,998","8,604"
2018.04.30 ~ 2018.05.06,"1,848,345","5,639","216,028","6,328"
2018.05.07 ~ 2018.05.13,"1,849,299","8,523","216,239","20,895"
2018.05.14 ~ 2018.05.20,"1,851,367","9,150","216,504","24,763"
2018.05.21 ~ 2018.05.27,"1,852,290","7,857","216,701","14,387"
